# ccx tau_xx tau_yy tau_zz
1.1405 -6.29285 -3.49216e-05 0
1.15173 -6.28384 -3.44893e-05 0
1.16297 -6.27496 -3.40627e-05 0
1.1742 -6.26617 -3.3649e-05 0
1.18544 -6.25749 -3.32401e-05 0
1.19667 -6.24891 -3.28436e-05 0
1.20791 -6.24044 -3.24531e-05 0
1.21914 -6.23205 -3.20722e-05 0
1.23038 -6.22377 -3.16991e-05 0
1.24161 -6.21557 -3.13343e-05 0
1.25285 -6.20747 -3.09764e-05 0
1.26409 -6.19945 -3.06262e-05 0
1.27532 -6.19153 -3.02827e-05 0
1.28656 -6.18369 -2.99464e-05 0
1.29779 -6.17594 -2.96141e-05 0
1.30903 -6.16826 -2.92922e-05 0
1.32026 -6.16068 -2.89718e-05 0
1.3315 -6.15316 -2.86634e-05 0
1.34273 -6.14573 -2.83549e-05 0
1.35397 -6.13837 -2.80572e-05 0
1.3652 -6.13109 -2.77619e-05 0
1.37644 -6.12388 -2.74739e-05 0
1.38767 -6.11675 -2.71902e-05 0
1.39891 -6.10968 -2.69136e-05 0
1.41014 -6.10269 -2.66386e-05 0
1.42138 -6.09576 -2.63736e-05 0
1.43262 -6.08891 -2.61067e-05 0
1.44385 -6.08211 -2.58524e-05 0
1.45509 -6.07539 -2.55952e-05 0
1.46632 -6.06872 -2.53485e-05 0
1.47756 -6.06212 -2.5102e-05 0
1.48879 -6.05558 -2.48624e-05 0
1.50003 -6.0491 -2.46245e-05 0
1.51126 -6.04268 -2.4395e-05 0
1.5225 -6.03633 -2.41616e-05 0
1.53373 -6.03001 -2.39424e-05 0
1.54497 -6.02378 -2.37175e-05 0
1.5562 -6.01758 -2.35028e-05 0
1.56744 -6.01145 -2.32878e-05 0
1.57867 -6.00536 -2.308e-05 0
1.58991 -5.99934 -2.28705e-05 0
1.60115 -5.99335 -2.26712e-05 0
1.61238 -5.98744 -2.24675e-05 0
1.62362 -5.98155 -2.22748e-05 0
1.63485 -5.97574 -2.20789e-05 0
1.64609 -5.96995 -2.189e-05 0
1.65732 -5.96424 -2.17023e-05 0
1.66856 -5.95854 -2.15194e-05 0
1.67979 -5.95292 -2.13362e-05 0
1.69103 -5.94732 -2.11602e-05 0
1.70226 -5.94179 -2.0985e-05 0
1.7135 -5.93627 -2.08099e-05 0
1.72473 -5.93084 -2.06447e-05 0
1.73597 -5.9254 -2.04739e-05 0
1.7472 -5.92006 -2.03139e-05 0
1.75844 -5.9147 -2.01478e-05 0
1.76968 -5.90944 -1.99982e-05 0
1.78091 -5.90416 -1.98307e-05 0
1.79215 -5.89899 -1.96929e-05 0
1.80338 -5.89377 -1.95267e-05 0
1.81462 -5.88869 -1.94011e-05 0
1.82585 -5.88354 -1.92314e-05 0
1.83709 -5.87854 -1.91287e-05 0
1.84832 -5.87345 -1.89421e-05 0
1.85956 -5.86853 -1.8884e-05 0
1.87079 -5.86349 -1.86453e-05 0
1.88203 -5.85864 -1.87053e-05 0
